system:index,BT_B10,MNDWI,NDBI,NDVI,date,.geo
1_LC08_117039_20240210_383,279.47607746,0.9604884536331761,-0.9338488320310918,-0.3105478898446973,2024-02-10,"{""type"":""Point"",""coordinates"":[122.19082270587327,30.796714906865358]}"
1_LC08_117039_20240210_412,280.05372284,0.9902281908505297,-0.9886543702858595,-0.15470000269418333,2024-02-10,"{""type"":""Point"",""coordinates"":[122.16709574400306,30.68309337953726]}"
1_LC08_117039_20241124_383,289.82926004,0.9987244572565628,-0.9916833000665345,-0.7419618998362211,2024-11-24,"{""type"":""Point"",""coordinates"":[122.19082270587327,30.796714906865358]}"
1_LC08_117039_20241124_412,289.7540636,0.997617357801886,-0.9834565293910605,-0.7558016077658122,2024-11-24,"{""type"":""Point"",""coordinates"":[122.16709574400306,30.68309337953726]}"
1_LC08_118038_20240217_1,289.81216994,-0.2552027386533617,-0.13795409573844644,0.3719638908746323,2024-02-17,"{""type"":""Point"",""coordinates"":[121.14654339017568,31.41318490886416]}"
1_LC08_118038_20240217_3,287.89466072,-0.34064342397845737,-0.1156133929052054,0.4169194875783033,2024-02-17,"{""type"":""Point"",""coordinates"":[121.54443643166626,31.187960712393874]}"
1_LC08_118038_20240217_6,290.57780642,-0.15539858728557007,-0.008132388413026806,0.13387480156896994,2024-02-17,"{""type"":""Point"",""coordinates"":[121.29787712246124,31.499554597369418]}"
1_LC08_118038_20240217_7,289.9762349,-0.3458157541356749,-0.2377541278069356,0.5744348005077362,2024-02-17,"{""type"":""Point"",""coordinates"":[121.076383610482,31.405453701823394]}"
1_LC08_118038_20240217_9,284.93807342,-0.3505184736654305,-0.27795538238303624,0.6214023764119115,2024-02-17,"{""type"":""Point"",""coordinates"":[121.16547161427546,31.42505598256461]}"
1_LC08_118038_20240217_10,285.62851346,0.2800190031275981,-0.19832488428476977,-0.014751186981261669,2024-02-17,"{""type"":""Point"",""coordinates"":[120.90435663027974,31.393357499472106]}"
1_LC08_118038_20240217_11,285.66611168,0.6213090376944321,-0.35875299760191875,-0.14449645175902162,2024-02-17,"{""type"":""Point"",""coordinates"":[121.19004987069808,31.364106356426802]}"
1_LC08_118038_20240217_12,289.22085247999996,-0.274564650708819,-0.022395077282645354,0.25136605915678667,2024-02-17,"{""type"":""Point"",""coordinates"":[121.70227364707905,31.19227549160392]}"
1_LC08_118038_20240217_14,288.1817744,-0.021771663046101924,-0.037996545768566474,0.05380214101144335,2024-02-17,"{""type"":""Point"",""coordinates"":[121.63320411195681,31.145555223839928]}"
1_LC08_118038_20240217_15,281.27395598,2.468324452338652,-0.896932923281523,2.5880826979011067,2024-02-17,"{""type"":""Point"",""coordinates"":[122.14953585658603,31.37576006065986]}"
1_LC08_118038_20240217_17,286.52745272,-0.004552980132450112,-0.02015527950310558,0.08977208638821609,2024-02-17,"{""type"":""Point"",""coordinates"":[120.85895150907443,31.552155397502514]}"
1_LC08_118038_20240217_20,281.3628245,0.8728238106318618,-0.8410070610636555,-0.21952149247707237,2024-02-17,"{""type"":""Point"",""coordinates"":[121.96594551394158,30.837382485979703]}"
1_LC08_118038_20240217_24,285.19442491999996,-0.24480050239641352,0.17485758503737361,0.03252024145532457,2024-02-17,"{""type"":""Point"",""coordinates"":[120.95494987664617,31.831168023374346]}"
1_LC08_118038_20240217_25,293.12764934,-0.10263874246691723,-0.08344668829130492,0.16059069128814404,2024-02-17,"{""type"":""Point"",""coordinates"":[121.43673166772311,31.305074347157696]}"
1_LC08_118038_20240217_27,281.28762806,0.7837849904013573,-0.414353951266703,-0.52282648606748,2024-02-17,"{""type"":""Point"",""coordinates"":[121.6706616199532,31.345412057529032]}"
1_LC08_118038_20240217_30,290.00699708,-0.48347619495269756,-0.017066817667044074,0.4676624639445666,2024-02-17,"{""type"":""Point"",""coordinates"":[121.90637939746705,31.023810920949646]}"
1_LC08_118038_20240217_31,290.71794524,-0.3145732240871848,0.024813376433106108,0.2456013544956782,2024-02-17,"{""type"":""Point"",""coordinates"":[121.20816973817972,31.256324510534327]}"
1_LC08_118038_20240217_34,288.31849520000003,-0.23534220796248606,-0.05183273347224845,0.2824910138149061,2024-02-17,"{""type"":""Point"",""coordinates"":[121.43084917766085,31.339859073906148]}"
1_LC08_118038_20240217_39,286.80773036,-0.3105659688730155,0.028505960337161445,0.2629078014184396,2024-02-17,"{""type"":""Point"",""coordinates"":[121.6851099189675,31.746574163371164]}"
1_LC08_118038_20240217_46,285.97031546,-0.15867845509539344,-0.13755419398760252,0.2487904653266728,2024-02-17,"{""type"":""Point"",""coordinates"":[121.16828080249024,31.17355683440531]}"
1_LC08_118038_20240217_47,294.778553,-0.1753475269787931,-0.03880123595198375,0.17976786615426413,2024-02-17,"{""type"":""Point"",""coordinates"":[121.00591133744672,31.369740291315914]}"
1_LC08_118038_20240217_48,290.49919195999996,-0.2850065141200433,-0.08770078555516464,0.31826542776168176,2024-02-17,"{""type"":""Point"",""coordinates"":[121.84263062690079,30.997475674277588]}"
1_LC08_118038_20240217_49,289.1730002,-0.3809954986939047,-0.03688055388976723,0.37393523841629694,2024-02-17,"{""type"":""Point"",""coordinates"":[121.05178427617793,31.63866354514027]}"
1_LC08_118038_20240217_50,288.57484669999997,-0.18945407651526008,-0.03602201732587041,0.14969072164948458,2024-02-17,"{""type"":""Point"",""coordinates"":[121.73532297075973,31.17623142809683]}"
1_LC08_118038_20240217_51,289.66177705999996,-0.2071845974041951,-0.11410644156547649,0.34619118786067243,2024-02-17,"{""type"":""Point"",""coordinates"":[121.33981825205706,31.22930610521142]}"
1_LC08_118038_20240217_52,280.98684230000003,0.7469175480628758,-0.7529519137527805,0.4815118353179385,2024-02-17,"{""type"":""Point"",""coordinates"":[121.52807750087516,31.51908585081977]}"
1_LC08_118038_20240217_54,291.79462154,-0.2171939742070126,-0.06240586835225711,0.26646077136318824,2024-02-17,"{""type"":""Point"",""coordinates"":[121.07345409808889,31.59625789148877]}"
1_LC08_118038_20240217_55,293.97873632,-0.16415937180745574,-0.1712217904381619,0.3076304581459221,2024-02-17,"{""type"":""Point"",""coordinates"":[121.33594864182702,31.252007647650473]}"
1_LC08_118038_20240217_56,287.23498286,-0.2859664874353101,-0.20986537078818837,0.4359279939381901,2024-02-17,"{""type"":""Point"",""coordinates"":[121.72892831266851,31.8179631680516]}"
1_LC08_118038_20240217_57,288.69789542,-0.19403993394385233,-0.10602186191586828,0.2710304517712403,2024-02-17,"{""type"":""Point"",""coordinates"":[121.63371042273214,31.17125246573227]}"
1_LC08_118038_20240217_59,290.73503533999997,-0.3899664514673958,0.002292097599650348,0.3598875026842802,2024-02-17,"{""type"":""Point"",""coordinates"":[121.11861313298478,31.613483322167085]}"
1_LC08_118038_20240217_60,291.25115636,-0.3365208683146474,0.039354494937961476,0.2475002091079834,2024-02-17,"{""type"":""Point"",""coordinates"":[121.26283385106296,31.43217722926671]}"
1_LC08_118038_20240217_63,291.89716214,-0.37084574049354824,0.07939901632717222,0.22642683612776604,2024-02-17,"{""type"":""Point"",""coordinates"":[121.32511102916885,31.424257632897024]}"
1_LC08_118038_20240217_66,287.72717774,-0.23712270431462298,-0.1162936936512054,0.3178671516861232,2024-02-17,"{""type"":""Point"",""coordinates"":[121.59095511076411,31.056488756057988]}"
1_LC08_118038_20240217_68,281.42776688000004,0.7889720643139905,-0.49617021276595774,-0.5126356951091398,2024-02-17,"{""type"":""Point"",""coordinates"":[121.90936097232499,31.11722995015995]}"
1_LC08_118038_20240217_70,289.28921288000004,-0.20090280046327913,-0.05719148539320606,0.24492765560222934,2024-02-17,"{""type"":""Point"",""coordinates"":[120.88549404224088,31.28693698549876]}"
1_LC08_118038_20240217_73,280.32716444,0.8671201926657893,-0.8336906870513657,-0.23772492992133093,2024-02-17,"{""type"":""Point"",""coordinates"":[122.03882427765394,30.838257591075642]}"
1_LC08_118038_20240217_77,279.47265944000003,0.9398320798349965,-0.5248436985850602,-0.8244164898454079,2024-02-17,"{""type"":""Point"",""coordinates"":[122.15132321504804,31.802932271037637]}"
1_LC08_118038_20240217_84,288.52699442,-0.2967716774277419,-0.13390174865855142,0.40086385674852343,2024-02-17,"{""type"":""Point"",""coordinates"":[121.01731371111605,31.6881906180161]}"
1_LC08_118038_20240217_85,280.56642583999997,0.8463879830022729,-0.8315159660950812,-0.14399481245820583,2024-02-17,"{""type"":""Point"",""coordinates"":[122.01154431165527,30.885462000419643]}"
1_LC08_118038_20240217_86,288.80385404000003,-0.14570531203058865,-0.1731002989585728,0.38379858680066653,2024-02-17,"{""type"":""Point"",""coordinates"":[120.86969289350424,31.675634095317065]}"
1_LC08_118038_20240217_89,278.93944832,0.5381884872507838,-0.18725597376229866,-0.43210030255114124,2024-02-17,"{""type"":""Point"",""coordinates"":[122.03153334373819,31.849419051259737]}"
1_LC08_118038_20240217_90,281.42776688000004,0.7490178961152336,-0.2904738400789734,0.16549648946840487,2024-02-17,"{""type"":""Point"",""coordinates"":[122.05298021242926,31.405241661244503]}"
1_LC08_118038_20240217_95,289.04653346,-0.3035358597328122,-0.06562266964951528,0.3467961611401644,2024-02-17,"{""type"":""Point"",""coordinates"":[121.91555665224368,30.882133051638863]}"
1_LC08_118038_20240217_96,288.97133701999996,-0.39447624754054555,0.10666161171549197,0.26138910311663566,2024-02-17,"{""type"":""Point"",""coordinates"":[121.03335238303741,31.820459729021223]}"
1_LC08_118038_20240217_97,291.73993322,-0.45747530640740547,0.10583065212273403,0.32809604289294253,2024-02-17,"{""type"":""Point"",""coordinates"":[121.44397809377658,31.273884861869764]}"
