NDVI,Landuse_IGBP,Building_Density,Impervious_Flag,Water_Flag,Vegetation_Flag,Raw_LST,UHI_Intensity
0.9152123078701673,0.5294117647058824,0.0,0.0,0.0,0.0,0.17935543481476923,-0.43944168
0.8484937724825902,0.7647058823529411,0.0,1.0,0.0,0.0,0.6466052859231586,1.4487305
0.6499832999276447,0.7647058823529411,0.0,1.0,0.0,0.0,0.6809301851411882,1.6722145
0.9125696419997524,0.6470588235294118,0.0,0.0,0.0,0.0,0.2704349158370576,0.7610626
0.4779891332368621,0.7647058823529411,0.0,1.0,0.0,0.0,0.6188155053511628,2.0878506
0.624309927767059,0.7647058823529411,0.0,1.0,0.0,0.0,0.46563364842010824,1.4244709
0.9013179659404269,0.6470588235294118,0.0,0.0,0.0,0.0,0.4399586706769507,0.10328674
0.9589802832703342,0.23529411764705882,0.0,0.0,0.0,1.0,0.09907378139576961,-0.96214294
0.4816157719164472,0.7647058823529411,0.0,1.0,0.0,0.0,0.7085749556840559,2.051651
0.5732874553498978,0.7647058823529411,0.0,1.0,0.0,0.0,0.39441936959013724,0.6268425
0.581692948999195,0.8235294117647058,0.0,0.0,0.0,0.0,0.1828242504812425,0.19064331
0.5559732483209654,0.7647058823529411,0.0,1.0,0.0,0.0,0.506958577226043,1.3595676
0.5067133292966355,0.5882352941176471,0.0,0.0,0.0,0.0,0.3660094148127597,-0.17873955
0.5336686727081124,0.7647058823529411,0.0,1.0,0.0,0.0,0.5282410693596149,0.8775253
0.5222850657075868,0.7647058823529411,0.0,1.0,0.0,0.0,0.34471227520149794,-0.3174019
0.5447123324296408,0.5882352941176471,0.0,0.0,0.0,0.0,0.6097829917590358,1.408432
0.8206956639944702,0.5294117647058824,0.0,0.0,0.0,0.0,0.4039185518214574,-0.13136482
0.5941946080110304,0.5294117647058824,0.0,0.0,0.0,0.0,0.10648394035898612,-0.30639648
0.8086486971153133,0.7058823529411764,0.0,0.0,0.0,0.0,0.3269360962772847,-0.6325855
0.8424219092826641,0.5294117647058824,0.0,0.0,0.0,0.0,0.14503229329406242,-0.6629143
0.8758638919525092,0.5882352941176471,0.0,0.0,0.0,0.0,0.512501768682931,0.5756035
0.9278333639910958,0.7058823529411764,0.0,0.0,0.0,0.0,0.19754525850893945,-0.654974
0.5282695431963809,0.7647058823529411,0.0,1.0,0.0,0.0,0.15932647382188136,0.03765297
0.751357710153788,0.7647058823529411,0.0,1.0,0.0,0.0,0.3546125053719624,1.3091297
0.48507701991320545,0.7647058823529411,0.0,1.0,0.0,0.0,0.6084193115861254,2.0201626
0.8497521267228914,0.6470588235294118,0.0,0.0,0.0,0.0,0.20747302593746042,-0.59033585
0.5794883805231881,0.8235294117647058,0.0,0.0,0.0,0.0,0.23353088874742678,-0.08671379
0.9909242304578201,0.5294117647058824,0.0,0.0,0.0,0.0,0.23584548317195209,-0.07164383
0.6911627918322398,0.7647058823529411,0.0,1.0,0.0,0.0,0.5146672517845752,0.5897026
0.45363087733701685,0.7647058823529411,0.0,1.0,0.0,0.0,0.7775519787717036,2.3013039
0.6675298887313559,0.6470588235294118,0.0,0.0,0.0,0.0,0.535514127931656,1.5454884
0.8314154953239243,0.9411764705882353,0.0,0.0,0.0,0.0,0.1322517831106964,-0.1386261
0.7575552720282307,0.5294117647058824,0.0,0.0,0.0,0.0,0.3011040975732935,0.35324478
0.668427372093098,0.7647058823529411,0.0,1.0,0.0,0.0,0.4926890044607428,1.2666607
0.719209525719793,0.5294117647058824,0.0,0.0,0.0,0.0,0.027480425843189327,-0.820776
0.4961153205321744,0.6470588235294118,0.0,0.0,0.0,0.0,0.4186550861755052,-0.035417557
0.7705318768844869,0.7058823529411764,0.0,0.0,0.0,0.0,0.08086462303104947,-0.47319984
0.6713156326980505,0.7647058823529411,0.0,1.0,0.0,0.0,0.3721513951576023,-0.13875008
0.5905765669951205,0.7647058823529411,0.0,1.0,0.0,0.0,0.3457475589246055,1.2514114
0.4841124299616114,0.7647058823529411,0.0,1.0,0.0,0.0,0.45922537693086696,1.9902477
0.6847223702135314,0.7647058823529411,0.0,1.0,0.0,0.0,0.5148541535998956,1.4109745
0.7087438267296439,0.7647058823529411,0.0,1.0,0.0,0.0,0.4520346371834423,0.3813572
0.4894473033716627,0.7058823529411764,0.0,0.0,0.0,0.0,0.31948902567029025,1.0804462
0.7733486211897658,0.7647058823529411,0.0,1.0,0.0,0.0,0.4176549563988532,0.77812576
0.5920361924958594,0.7647058823529411,0.0,1.0,0.0,0.0,0.6213190522378853,1.2840958
0.49069967482074445,0.7647058823529411,0.0,1.0,0.0,0.0,0.30647210519701273,0.9956951
0.49275272391171315,0.5882352941176471,0.0,0.0,0.0,0.0,0.3767685730749477,0.5119209
0.8405263392683731,0.7647058823529411,0.0,1.0,0.0,0.0,0.45933992020640035,0.22947502
0.7468479883906316,0.5294117647058824,0.0,0.0,0.0,0.0,0.3964955030778743,0.6403599
0.478099530749588,0.7647058823529411,0.0,1.0,0.0,0.0,0.48504477880404506,2.1583538
0.7705656207509477,0.5882352941176471,0.0,0.0,0.0,0.0,0.14410188551121283,-0.668972
0.7320592307233728,0.6470588235294118,0.0,0.0,0.0,0.0,0.3731093401985084,0.48809624
0.48271896627790256,0.7647058823529411,0.0,1.0,0.0,0.0,0.7381490919882103,2.0447578
0.5061883312822754,0.7647058823529411,0.0,1.0,0.0,0.0,0.1805442241040649,-0.43170166
0.764445784343282,0.7647058823529411,0.0,1.0,0.0,0.0,0.661889635942801,1.5482445
0.7391799072535231,0.7058823529411764,0.0,0.0,0.0,0.0,0.36628742393931013,-0.3763752
0.8501238266845534,0.6470588235294118,0.0,0.0,0.0,0.0,0.44481548132929927,0.13490868
0.881280207551759,0.5294117647058824,0.0,0.0,0.0,0.0,0.4901775479360677,0.6296997
0.512868457242622,0.7647058823529411,0.0,1.0,0.0,0.0,0.4731519057686744,0.3194027
0.7845221282703785,0.7647058823529411,0.0,1.0,0.0,0.0,0.32973727991066193,0.53967094
0.5194037673160458,0.7647058823529411,0.0,1.0,0.0,0.0,0.6829606184985337,1.8848801
0.5681063119546905,0.7647058823529411,0.0,1.0,0.0,0.0,0.4261417049722618,0.83338165
0.6816862353372644,0.7647058823529411,0.0,1.0,0.0,0.0,0.7308194941522874,2.1964817
0.764161751907628,0.7647058823529411,0.0,1.0,0.0,0.0,0.39443929015979506,0.6269722
0.7763795448007853,0.7058823529411764,0.0,0.0,0.0,0.0,0.33464154839072524,1.179102
0.4598233636562444,0.7058823529411764,0.0,0.0,0.0,0.0,0.4583556097056527,0.42251205
0.6819263785709224,0.7647058823529411,0.0,1.0,0.0,0.0,0.34594793641940047,0.645216
0.8272736482319821,0.7647058823529411,0.0,1.0,0.0,0.0,0.5279440185120681,0.8755913
0.46020723594158636,0.7647058823529411,0.0,1.0,0.0,0.0,0.4572385930570366,1.9773121
0.5421720531376085,0.5294117647058824,0.0,0.0,0.0,0.0,0.4126900473611541,0.7458
0.8243433648710975,0.5294117647058824,0.0,0.0,0.0,0.0,0.26680673561332036,0.12994003
0.7410060122108445,0.7647058823529411,0.0,1.0,0.0,0.0,0.39438568039145094,0.96058655
0.9422329399345502,0.5294117647058824,0.0,0.0,0.0,0.0,0.4747877360770598,1.4840717
0.6326095329416457,0.7647058823529411,0.0,1.0,0.0,0.0,0.32668679620700614,0.18584633
0.6100726217531738,0.7647058823529411,0.0,1.0,0.0,0.0,0.761568651116709,2.3966846
0.5566370748111129,0.7647058823529411,0.0,1.0,0.0,0.0,0.493787272337916,1.6077747
0.7392295990700146,0.7647058823529411,0.0,1.0,0.0,0.0,0.6396717558839651,1.6030331
0.7193772841095698,0.7647058823529411,0.0,1.0,0.0,0.0,0.4730854062199632,1.1390247
0.8243607727145839,0.7647058823529411,0.0,1.0,0.0,0.0,0.24994631699426728,-0.3137989
0.5391428204158449,0.7647058823529411,0.0,1.0,0.0,0.0,0.6154167046280463,1.4451122
0.8613897320851577,0.7647058823529411,0.0,1.0,0.0,0.0,0.7306577859985932,2.1954288
0.9161358845174751,0.29411764705882354,0.0,0.0,0.0,1.0,0.11365183004121482,-0.86722755
0.7953472197659668,0.5882352941176471,0.0,0.0,0.0,0.0,0.45166522779610796,0.9995613
0.5508928006148849,0.7058823529411764,0.0,0.0,0.0,0.0,0.4895166537427089,0.6253967
0.5145101767324842,0.7647058823529411,0.0,1.0,0.0,0.0,0.28344129012639874,0.23824501
0.5767587216345011,0.7647058823529411,0.0,1.0,0.0,0.0,0.4941505297846205,1.2761765
0.8610849285071696,0.5294117647058824,0.0,0.0,0.0,0.0,0.33273854808928016,0.55921173
0.581834761940718,0.7058823529411764,0.0,0.0,0.0,0.0,0.445580958513363,0.13989258
0.7400496341599399,0.7647058823529411,0.0,1.0,0.0,0.0,0.384498632950907,0.89621353
0.4283734622009006,0.7647058823529411,0.0,1.0,0.0,0.0,0.8757858737967461,2.9408894
0.6222932050755949,0.7058823529411764,0.0,0.0,0.0,0.0,0.46960252897490795,0.29629326
0.4448702631608563,0.7647058823529411,0.0,1.0,0.0,0.0,0.4050171126481845,1.0298061
0.9226796074579341,0.8235294117647058,0.0,0.0,0.0,0.0,0.3264500929675407,0.18430519
0.7528370442161811,0.7647058823529411,0.0,1.0,0.0,0.0,0.514909521065563,1.411335
