BT_B10,MNDWI,NDBI,NDVI,date,lon,lat,LST_C
283.52301314,-0.3488960895671462,-0.0596693492235698,0.3729282927033945,2023-01-29,121.26463126880873,31.015442147413363,10.373013140000012
283.24615352,-0.2272287538554339,-0.1353908574086103,0.3441742135140782,2023-01-29,121.14654339017545,31.413184908863272,10.09615352000003
283.21197332,-0.305609845048954,0.0526641182812725,0.1970124228336253,2023-01-29,121.6819362424337,31.027334178112504,10.06197332000005
282.18998534,-0.3730760710179022,-0.1068122396601772,0.421954208433618,2023-01-29,121.54443643166626,31.187960712393874,9.039985340000044
279.21630794,0.8904699893453297,-0.4513757115749526,-0.7228023284785614,2023-01-29,122.04672995349442,31.35526053049395,6.0663079400000015
283.28716976,-0.1657839158751397,-0.036006875868627,0.1501862736141141,2023-01-29,121.29787712246053,31.499554597368796,10.137169760000006
282.4224107,-0.3366076356730562,-0.1236713138735379,0.4455131492776379,2023-01-29,121.0763836104808,31.405453701822974,9.272410700000023
278.05759916,0.7994000947218863,0.7025457793657921,-0.9227288548555528,2023-01-29,121.63931215922896,31.462549840216397,4.907599160000018
281.73197066,-0.390307696103832,-0.3405738160581891,0.714888838984954,2023-01-29,121.16547161427546,31.42505598256461,8.581970660000025
281.73538868,-0.3253695553638532,0.1001262197194038,0.1937467800103041,2023-01-29,121.19004987069751,31.364106356427236,8.585388680000051
283.2427355,-0.3446271424837251,-0.0314609763751289,0.314623304498863,2023-01-29,121.70227364707905,31.19227549160392,10.092735500000003
281.0381126,-0.1368955155847971,0.0892510314550698,0.0141474120665715,2023-01-29,121.63320411195681,31.145555223839928,7.8881125999999995
278.80614554,0.8903381316032528,-0.8388132843283334,-0.290988943645788,2023-01-29,122.14953585658603,31.37576006065986,5.656145540000011
285.61484138000003,-0.3005891482445235,0.0304854547123061,0.2273899607320719,2023-01-29,121.14026492023326,30.999696147813868,12.464841380000053
280.00587056,0.0922368317455316,-0.0611347488854054,0.0231024397903704,2023-01-29,120.85895150907423,31.552155397502514,6.855870560000028
280.95949814,-0.3446068349292397,0.0315525483946812,0.2029620399395131,2023-01-29,121.77007741563929,31.561614433694672,7.8094981400000165
283.50934106,-0.3242245759498469,0.0605753851760369,0.2658845996453416,2023-01-29,121.75601106893322,30.972408342763746,10.35934106000002
278.40965522,0.8476540540540541,-0.850323951141795,-0.093214516229778,2023-01-29,121.96594551394158,30.837382485979703,5.259655220000013
281.23293974,-0.2379541278966395,-0.1545784224841342,0.368566493955095,2023-01-29,121.85254870215226,31.695819304424305,8.082939740000029
281.38333262000003,-0.5059734936774425,-0.2296695638150202,0.6836667902178969,2023-01-29,121.79974646837003,31.54560986144515,8.233332620000056
280.73390882,-0.2072916889278311,0.1391147244805781,0.0116245456570262,2023-01-29,120.954949876646,31.831168023374094,7.583908820000033
286.43858420000004,-0.0841823396130751,-0.1043834504783968,0.1727684652378173,2023-01-29,121.43673166772278,31.305074347157447,13.28858420000006
283.23931747999995,-0.1336181005139158,-0.2092767027203178,0.3620267766630544,2023-01-29,121.16186220911244,31.260073496209554,10.089317479999977
280.0981571,0.878380036817345,-0.724709477290615,-0.4613883145612539,2023-01-29,121.6706616199532,31.345412057529032,6.948157100000003
278.21141006,0.8308320621955416,0.9347214406302732,-0.9875869448903152,2023-01-29,121.63862807407378,31.441664734149544,5.061410060000014
280.36476266,0.3214294596006068,-0.0158695808987956,-0.1934135166093927,2023-01-29,121.82647826098595,31.572582703830857,7.214762660000019
284.97225362,-0.5077181435744333,0.0688512761927666,0.419273243825322,2023-01-29,121.90637939746705,31.023810920949646,11.822253620000026
284.03571614,-0.3122156259479134,0.0734643525608303,0.1595815476348924,2023-01-29,121.20816973817897,31.256324510534,10.88571614
283.68366008,-0.1647715817910567,0.0228831939096179,0.1141392118863049,2023-01-29,121.4565365185575,31.047477047468277,10.533660080000004
283.47857888,-0.3569040861377663,-0.1854039551689817,0.4705649463505633,2023-01-29,121.62309201680435,31.52381198669109,10.32857888000001
281.6533562,-0.2468266206130883,-0.0409162507353916,0.2609835161045588,2023-01-29,121.43084917766026,31.33985907390502,8.503356200000042
