,R2,RMSE,MAE,SMAPE
XGBoost,0.7547426308391818,0.468547637897605,0.3690073271519038,74.9797660770547
LightGBM,0.7571592946346724,0.4662334866407375,0.36879881329479924,75.36447809438481
RandomForest,0.7559982880649454,0.4673466746078507,0.36768508072969547,75.59128917846125
StackingÈÚºÏÄ£ÐÍ,0.7574703143340351,0.4659348253057493,0.36806662969112236,75.51335653164456
